Atom     Average OP     OP stem
M_G1_M M_G1H1_M 0.04049771024955457 0.0074317345998711854
M_G1_M M_G1H2_M -0.11764238132266686 0.004971534563818525
M_G1C3_M M_G1C3H1_M -0.19548697376633123 0.002794405634917061
M_G1C3_M M_G1C3H2_M -0.2126837361118162 0.002289820798080081
M_G1C4_M M_G1C4H1_M -0.16923535828129233 0.002257779490756516
M_G1C4_M M_G1C4H2_M -0.18796445070063078 0.002227429592401478
M_G1C5_M M_G1C5H1_M -0.19848073495089352 0.0021929952680807578
M_G1C5_M M_G1C5H2_M -0.20453015591524093 0.0021615703542961153
M_G1C6_M M_G1C6H1_M -0.1855870071748666 0.0020790777020670177
M_G1C6_M M_G1C6H2_M -0.18691961555796316 0.0022159415359610164
M_G1C7_M M_G1C7H1_M -0.1913904146217188 0.0021069057854886174
M_G1C7_M M_G1C7H2_M -0.19191804760167536 0.00203932612576476
M_G1C8_M M_G1C8H1_M -0.1768002071969299 0.0021430018078149797
M_G1C8_M M_G1C8H2_M -0.17739650812807417 0.0020298714227294434
M_G1C9_M M_G1C9H1_M -0.17080284951429087 0.0020793736039692464
M_G1C9_M M_G1C9H2_M -0.17102648916603294 0.0020103993646470343
M_G1C10_M M_G1C10H1_M -0.1548605208824151 0.0019918217486486435
M_G1C10_M M_G1C10H2_M -0.15452124341517143 0.0019387478316984159
M_G1C11_M M_G1C11H1_M -0.14378886871487576 0.0018659963878172548
M_G1C11_M M_G1C11H2_M -0.14348297088840997 0.0017971348427124735
M_G1C12_M M_G1C12H1_M -0.12626252956486095 0.0016205219461849951
M_G1C12_M M_G1C12H2_M -0.12710727178420891 0.0017219876454329258
M_G1C13_M M_G1C13H1_M -0.11382284648631272 0.0015115771111505593
M_G1C13_M M_G1C13H2_M -0.11398154296039557 0.0015398148097916177
M_G1C14_M M_G1C14H1_M -0.09761186707182953 0.0013261507849416125
M_G1C14_M M_G1C14H2_M -0.09780566903623775 0.0013523960079750053
M_G1C15_M M_G1C15H1_M -0.0819158301440235 0.0011490383467663854
M_G1C15_M M_G1C15H2_M -0.08247467143588291 0.0012137798446610584
M_G1C16_M M_G1C16H1_M -0.061167220950243066 0.0009194580600487154
M_G1C16_M M_G1C16H2_M -0.060965540157511135 0.000887602238755896
M_G1C17_M M_G1C17H1_M -0.017478129303005022 0.000498333716407464
M_G1C17_M M_G1C17H2_M -0.01854301944760216 0.00046974548198534626
M_G1C17_M M_G1C17H3_M -0.018699377369186105 0.0004915941338257827
M_G2_M M_G2H1_M -0.014864729245436633 0.007137965059095976
M_G2C3_M M_G2C3H1_M -0.20461301526971987 0.0027142610575619274
M_G2C3_M M_G2C3H2_M -0.11890818524670617 0.004021291122607298
M_G2C4_M M_G2C4H1_M -0.20232704419858027 0.0025174932039253852
M_G2C4_M M_G2C4H2_M -0.13537385206762292 0.003238906613286942
M_G2C5_M M_G2C5H1_M -0.18834298292294763 0.0023978616532027105
M_G2C5_M M_G2C5H2_M -0.1733123673043491 0.0028542583919929114
M_G2C6_M M_G2C6H1_M -0.1768446987680221 0.0026003691746184845
M_G2C6_M M_G2C6H2_M -0.16944434062608882 0.0027324744445569892
M_G2C7_M M_G2C7H1_M -0.1609825567828674 0.0023860028449655623
M_G2C7_M M_G2C7H2_M -0.15991465993994172 0.0024200263168329054
M_G2C8_M M_G2C8H1_M -0.15015873888627723 0.002405524488863029
M_G2C8_M M_G2C8H2_M -0.14884694229594952 0.002365457822037144
M_G2C9_M M_G2C9H1_M -0.11461737352311853 0.0021410988464890092
M_G2C9_M M_G2C9H2_M -0.11512365505845121 0.00230489243365721
M_G2C10_M M_G2C10H1_M -0.09548575441941108 0.0023216800478684137
M_G2C11_M M_G2C11H1_M -0.019112955630490605 0.002325827307276632
M_G2C12_M M_G2C12H1_M -0.0434339887255448 0.001876718270938856
M_G2C12_M M_G2C12H2_M -0.04198254638670406 0.0020686111462350837
M_G2C13_M M_G2C13H1_M -0.07804131473665538 0.001824983720033396
M_G2C13_M M_G2C13H2_M -0.07763381631313901 0.001809423581536217
M_G2C14_M M_G2C14H1_M -0.0773066107839683 0.0015271098124051959
M_G2C14_M M_G2C14H2_M -0.07683998285374154 0.001619977046180693
M_G2C15_M M_G2C15H1_M -0.08559545018343181 0.0014433220996638355
M_G2C15_M M_G2C15H2_M -0.08493481544044829 0.0015358956948647864
M_G2C16_M M_G2C16H1_M -0.07581733404867047 0.0013174232587666306
M_G2C16_M M_G2C16H2_M -0.07667982023352972 0.0013370499824130984
M_G2C17_M M_G2C17H1_M -0.07038989128654223 0.0011422078848368595
M_G2C17_M M_G2C17H2_M -0.07052482070997207 0.0011413759208087197
M_G2C18_M M_G2C18H1_M -0.052355592470134736 0.0008486292155418869
M_G2C18_M M_G2C18H2_M -0.05327798855755263 0.0008989974317078038
M_G2C19_M M_G2C19H1_M -0.017783480644941937 0.0004240272338467589
M_G2C19_M M_G2C19H2_M -0.018341757271321486 0.0004988723828856449
M_G2C19_M M_G2C19H3_M -0.01763785798573593 0.00045789767257283176
M_G3_M M_G3H1_M 0.00303205275667629 0.006531081621133313
M_G3_M M_G3H2_M 0.11032310125260958 0.006507991048976049
M_G3C4_M M_G3C4H1_M 0.01787247263973733 0.0030774270986338257
M_G3C4_M M_G3C4H2_M -0.030188952370462374 0.002622926125270815
M_G3C5_M M_G3C5H1_M 0.03438985360016613 0.0023506359137083956
M_G3C6_M M_G3C6H1_M -0.013802788709354774 0.001881470934689884
M_G3C6_M M_G3C6H2_M 0.009314474478716602 0.002123325801528045
