0 4.998000799680129e-05
2 0.00016399690123950424
4 0.00025302379048380624
6 0.00032955567772890824
8 0.0005201044582167133
10 0.0006278738504598163
12 0.0007497001199520192
14 0.0008184226309476212
16 0.0010261520391843266
18 0.0011635970611755303
20 0.001330717712914834
22 0.0014728483606557378
24 0.0016462165133946422
26 0.0020226284486205533
28 0.002252224110355858
30 0.002449020391843263
32 0.00267705417832867
34 0.00315654988004798
36 0.0033720886645341843
38 0.0038828218712515
40 0.004156150039984003
42 0.004570046981207516
44 0.004880860155937625
46 0.00553216213514594
48 0.0059148215713714525
50 0.006653588564574169
52 0.006873812974810075
54 0.007348623050779688
56 0.008121751299480208
58 0.008707454518192725
60 0.009564924030387847
62 0.010086590363854458
64 0.010650427329068369
66 0.011115866153538583
68 0.011710940623750507
70 0.012476259496201517
72 0.012851109556177529
74 0.013525839664134344
76 0.013878823470611755
78 0.01431771041583366
80 0.014623837964814068
82 0.014926841763294682
84 0.01520016993202719
86 0.015222036185525785
88 0.01465976109556178
90 0.0156593612554978
92 0.014840938624550187
94 0.014784711115553779
96 0.014014706617353068
98 0.013699207816873248
100 0.013265006497401035
102 0.012523115753698518
104 0.011882746901239506
106 0.011193959916033587
108 0.010417707916833267
110 0.009705492802878846
112 0.008698083266693324
114 0.008248263194722114
116 0.00738142243102759
118 0.006780100459816071
120 0.006016343462614954
122 0.005244777089164335
124 0.0047043682526989195
126 0.003979658136745302
128 0.00356107556977209
130 0.002944134846061575
132 0.002542732906837265
134 0.0020538659536185524
136 0.0016696446421431439
138 0.0014010020991603366
140 0.0011245501799280288
142 0.0008480982606957217
144 0.0007247101159536185
146 0.0005841413434626151
148 0.0004919907037185125
150 0.00034829818072770887
152 0.00028113754498200716
154 0.0002014819072371051
156 0.000198358156737305
158 0.00014525439824070375
160 8.902688924430231e-05
162 7.809376249500203e-05
164 4.2170631747301096e-05
166 3.5923130747700916e-05
168 1.56187524990004e-05
170 1.874250299880048e-05
172 9.37125149940024e-06
174 9.37125149940024e-06
176 6.24750099960016e-06
