#[CaCl]    POPC_a1   error      POPC_a2   error       POPC_b1   error      POPC_b2     error    POPG_a1   error     POPG_a2     error       POPG_b   error
0     0.04283    0.00097   0.04454    0.00113   -0.02681    0.00084   -0.02850    0.00080   0.09584    0.00241   0.06867    0.00203   -0.01843    0.00206    
100   0.01732    0.00153   0.01966    0.00138   -0.04049    0.00101   -0.04384    0.00106   0.09670    0.00271   0.05644    0.00254   -0.02632    0.00213    
1000   -0.03188    0.00281   -0.03008    0.00296   -0.06355    0.00188   -0.06675    0.00207   0.11503    0.00742   0.04603    0.00569   -0.03118    0.00528    
