#[CaCl]    POPC_a1   error      POPC_a2   error       POPC_b1   error      POPC_b2     error    POPG_a1   error     POPG_a2     error       POPG_b   error
0     0.15993    0.00657   0.15816    0.00554   -0.02015    0.00301   -0.01460    0.00291   0.13110    0.00597   0.09739    0.00727   -0.00924    0.00535    
100   0.09843    0.01396   0.12386    0.01400   -0.05065    0.00791   -0.05467    0.00778   0.12492    0.01582   0.07839    0.01809   -0.02640    0.01540    
1000   -0.01015    0.01970   0.02247    0.01755   -0.12892    0.01024   -0.11916    0.01120   0.18203    0.02398   0.04454    0.02101   -0.03450    0.01990    
