#[CaCl]    POPC_a1   error      POPC_a2   error       POPC_b1   error      POPC_b2     error    POPG_a1   error     POPG_a2     error       POPG_b   error
0     0.16126    0.00247   0.17282    0.00225   -0.00997    0.00141   -0.00563    0.00120   0.12260    0.00562   0.10034    0.00463   0.00077    0.00392    
100   0.11661    0.00670   0.12362    0.00685   -0.04649    0.00359   -0.03361    0.00377   0.11762    0.01229   0.10353    0.01174   -0.00139    0.00931    
1000   -0.00727    0.01252   -0.01684    0.01210   -0.13790    0.00701   -0.13152    0.00776   0.15192    0.02992   0.11754    0.02793   -0.08121    0.01903    
