0.5  55.88932608289384 0.8026184465106487
0.0  67.87433464421436 0.4014843732808668
0.5  45.29002104314969 0.9739934214437231
0.5  41.5720784683469 1.1943698364206803
0.5  51.79436261800416 0.9222016727330516
0.5  60.705094667402335 0.48491157927997497
