0    60.705094667402335 0.48491157927997497 [['PCPG_CA0.xtc']]
100  55.88932608289384 0.8026184465106487 [['PCPG_CA100_extend.xtc']]
200  51.79436261800416 0.9222016727330516 [['PCPG_CA200_extend.xtc']]
500  45.29002104314969 0.9739934214437231 [['PCPG_CA500_extend.xtc']]
1000  41.5720784683469 1.1943698364206803 [['PCPG_CA1000_extend.xtc']]
