0.0 0.045078756939482136 0.0018367830716549132   0.04662577345338539 0.0019554671980566646   -0.06968900180067436 0.0014495238151612147   -0.07274074304202545 0.0015817151752841629   0.03523350357387023 0.0016317691321900342   0.032382294499402595 0.0015310270259830249   0.027063299824705758 0.0016997290864919927  
0.101 0.03852247833791822 0.0021215953799166333   0.03612834011113538 0.0020241653765190686   -0.08326155212826881 0.0018183062748257657   -0.08553819976971538 0.0017313376230659397   0.027698479568166682 0.0017615054669696364   0.02812945981979418 0.001600462706100186   0.017344723985000223 0.0020097222318643643  
1.078 0.019464192787299384 0.0022215801566918395   0.021257752344445543 0.002437584978093732   -0.10143672443719802 0.002038920571105053   -0.1046567070963167 0.001849991538907596   0.03629506053202359 0.0023621155863742635   0.027959019787504324 0.002005840095974568   0.025193882085251633 0.0024017046749636116  
#[CaCl]           M_G1C4_M M_G1C4H1_M                M_G1C4_M M_G1C4H2_M 
